tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt4796634,movie,Selfie 69,Selfie 69,0,2016,,116,"Action,Comedy,Romance",6.0,2022,nm4463312,Hindi,"Fun,Action-Packed,Romantic"
tt15192796,movie,Brandy Diaries,Brandy Diaries,0,2021,,144,Drama,8.4,1441,nm12827869,Hindi,"Thought-Provoking,Emotional"
tt19902148,tvSeries,Throne of Seal,Shen Yin Wangzuo,0,2022,,100,"Action,Adventure,Animation",7.4,1629,nm14534783,Hindi,"Whimsical,Fun,Action-Packed"
tt5838806,movie,Annmariya Kalippilanu,Ann Mariya Kalippilanu,0,2016,,127,"Comedy,Drama",7.2,1663,nm6576552,Malayalam,"Light-Hearted,Emotional,Thought-Provoking"
tt12782448,movie,Pichaikkaran 2,Pichaikkaran 2,0,2023,,148,"Action,Drama,Sci-Fi",5.6,2137,nm2537099,Tamil,"Action-Packed,Mind-Bending,Thought-Provoking"
tt6417204,movie,Shatamanam Bhavati,Shatamanam Bhavati,0,2017,,129,Drama,7.0,1706,nm11071153,Hindi,"Thought-Provoking,Emotional"
tt0204761,movie,Fidelity,La fidélité,0,2000,,166,Drama,5.6,2131,nm0958558,Hindi,"Thought-Provoking,Emotional"
tt8801584,movie,Sunrise in Heaven,Sunrise in Heaven,0,2020,,85,"Drama,Romance",5.7,2085,nm3462500,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt0094621,movie,Agni Natchathiram,Agni Natchathiram,0,1988,,146,"Action,Crime,Drama",7.7,1530,nm0711745,Hindi,"Gritty,Action-Packed,Intense"
tt0307541,movie,Takkari Donga,Takkari Donga,0,2002,,165,"Action,Adventure,Comedy",6.6,1780,nm0419680,Hindi,"Fun,Action-Packed,Light-Hearted"
tt29354056,movie,Preminchoddu : Don't Love,Preminchoddu,0,2024,,177,"Crime,Thriller",7.7,1520,nm11598457,Hindi,"Intense,Gritty,Suspenseful"
tt12989912,movie,Ultrasound,Ultrasound,0,2021,,103,"Drama,Mystery,Sci-Fi",5.8,1998,nm1470390,Hindi,"Thought-Provoking,Emotional,Mind-Bending"
tt5303668,tvSeries,Kördügüm,Kördügüm,0,2016,2016.0,140,Drama,6.5,1781,nm7057537,Hindi,"Thought-Provoking,Emotional"
tt1405354,tvSeries,The Chosen One,The Chosen One,0,2023,2023.0,45,"Action,Adventure,Drama",5.6,2067,nm0332740,Hindi,"Action-Packed,Adventurous,Thought-Provoking"
tt2238837,movie,Kadhalil Sodhappuvadhu Yeppadi,Kadhalil Sodhappuvadhu Yeppadi,0,2012,,127,"Comedy,Romance",7.1,1627,nm4897036,Telugu,"Light-Hearted,Romantic,Heartwarming"
tt1792621,movie,Superheroes,Superheroes,0,2011,,85,"Action,Comedy,Documentary",6.4,1804,nm0055953,Hindi,"Fun,Action-Packed,Light-Hearted"
